"filename", "language", "Markdown", "Shell Script", "CSV", "Makefile", "C", "Python", "C++", "comment", "blank", "total"
"d:\CodeBase\satori-os\kernel\trap\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\trap\entry.c", "C", 0, 0, 0, 0, 73, 0, 0, 2, 0, 75
"d:\CodeBase\satori-os\kernel\trap\extioi.c", "C", 0, 0, 0, 0, 19, 0, 0, 6, 7, 32
"d:\CodeBase\satori-os\kernel\trap\handle.c", "C", 0, 0, 0, 0, 70, 0, 0, 2, 15, 87
"d:\CodeBase\satori-os\kernel\trap\i8042.c", "C", 0, 0, 0, 0, 27, 0, 0, 24, 12, 63
"d:\CodeBase\satori-os\kernel\trap\init.c", "C", 0, 0, 0, 0, 21, 0, 0, 0, 7, 28
"d:\CodeBase\satori-os\kernel\trap\ls7a.c", "C", 0, 0, 0, 0, 18, 0, 0, 6, 8, 32
"d:\CodeBase\satori-os\kernel\trap\trap.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 25, 74
"d:\CodeBase\satori-os\kernel\vpu\Makefile", "Makefile", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\vpu\instr.c", "C", 0, 0, 0, 0, 264, 0, 0, 0, 34, 298
"d:\CodeBase\satori-os\kernel\vpu\vmmu.c", "C", 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"d:\CodeBase\satori-os\kernel\vpu\vpu.c", "C", 0, 0, 0, 0, 86, 0, 0, 0, 8, 94
"d:\CodeBase\satori-os\kernel\vpu\vtlb.c", "C", 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"d:\CodeBase\satori-os\notes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\CodeBase\satori-os\run_loongarch.sh", "Shell Script", 0, 61, 0, 0, 0, 0, 0, 13, 6, 80
"d:\CodeBase\satori-os\start.sh", "Shell Script", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\CodeBase\satori-os\tools\mmp.csv", "CSV", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"d:\CodeBase\satori-os\tools\vis_mmap.py", "Python", 0, 0, 0, 0, 0, 112, 0, 0, 16, 128
"Total", "-", 210, 65, 16, 294, 4838, 112, 739, 456, 1185, 7915
